                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                 0.7367,                0.33797,                 1.0489,                0.96651,                0.97284,                0.98396,                0.77791,                0.95966,                0.34442,                 1.1987,               0.004456,               0.004456,               0.004456
                    114,                0.72816,                0.33295,                 1.0539,                0.96899,                0.96691,                 0.9819,                 0.7809,                0.96617,                0.35071,                 1.2059,              0.0044065,              0.0044065,              0.0044065
                    115,                0.72928,                0.33347,                 1.0467,                0.96402,                0.96848,                0.98187,                0.77681,                 0.9644,                0.34534,                 1.2065,               0.004357,               0.004357,               0.004357
                    116,                0.72759,                0.32794,                 1.0344,                0.96152,                0.97564,                0.98274,                0.78002,                0.95479,                0.34596,                 1.2113,              0.0043075,              0.0043075,              0.0043075
                    117,                0.72781,                0.32932,                 1.0454,                0.96502,                0.97298,                0.98067,                0.77995,                0.96069,                0.34521,                 1.2046,               0.004258,               0.004258,               0.004258
                    118,                0.71736,                0.32769,                 1.0399,                0.96744,                 0.9706,                0.97913,                0.77884,                0.95797,                0.35393,                 1.1974,              0.0042085,              0.0042085,              0.0042085
                    119,                 0.7123,                0.32733,                 1.0361,                0.97259,                0.94882,                0.98126,                0.77769,                0.96337,                   0.35,                 1.1986,               0.004159,               0.004159,               0.004159
                    120,                0.72587,                0.32858,                 1.0489,                0.98159,                0.95272,                0.98174,                0.78263,                0.97255,                0.34536,                 1.2254,              0.0041095,              0.0041095,              0.0041095
                    121,                0.72031,                 0.3256,                 1.0415,                0.96095,                0.97187,                0.98338,                0.78504,                0.97206,                0.34503,                 1.2218,                0.00406,                0.00406,                0.00406
                    122,                0.71336,                0.31996,                 1.0425,                0.95645,                0.96994,                0.97996,                0.78129,                0.96232,                0.34762,                 1.2028,              0.0040105,              0.0040105,              0.0040105
                    123,                 0.7109,                0.31751,                 1.0283,                 0.9691,                0.96409,                0.97894,                0.77932,                0.96221,                0.34832,                 1.1995,               0.003961,               0.003961,               0.003961
                    124,                0.71165,                0.31547,                 1.0387,                0.97049,                0.96418,                0.97906,                0.77691,                  0.972,                0.35244,                 1.2127,              0.0039115,              0.0039115,              0.0039115
                    125,                0.70062,                0.31751,                  1.039,                0.96879,                0.96418,                0.98019,                0.77882,                0.97196,                 0.3476,                 1.2189,               0.003862,               0.003862,               0.003862
                    126,                0.71344,                0.31427,                 1.0316,                0.97366,                0.95415,                0.97698,                0.77521,                0.96873,                0.34626,                 1.2207,              0.0038125,              0.0038125,              0.0038125
                    127,                0.69504,                0.31001,                 1.0318,                0.96411,                0.96705,                0.97855,                0.77965,                0.96776,                0.35001,                  1.218,               0.003763,               0.003763,               0.003763
                    128,                 0.6974,                0.31384,                 1.0298,                0.97885,                0.95713,                0.97955,                0.78027,                0.96638,                0.35646,                 1.2141,              0.0037135,              0.0037135,              0.0037135
                    129,                0.68985,                0.31201,                 1.0207,                 0.9742,                0.95845,                0.97913,                0.77846,                 0.9622,                0.35099,                  1.205,               0.003664,               0.003664,               0.003664
                    130,                0.69193,                0.31003,                 1.0278,                0.97028,                 0.9554,                0.97455,                0.77603,                0.96566,                0.35582,                 1.2103,              0.0036145,              0.0036145,              0.0036145
                    131,                0.69125,                0.30955,                 1.0324,                0.96769,                0.96349,                0.97402,                0.77196,                0.96701,                 0.3573,                 1.2135,               0.003565,               0.003565,               0.003565
                    132,                0.69362,                0.31187,                 1.0287,                0.96887,                0.96991,                0.97568,                 0.7695,                0.96661,                0.34829,                 1.2208,              0.0035155,              0.0035155,              0.0035155
                    133,                0.68796,                0.31207,                 1.0294,                0.96282,                0.96757,                0.97431,                 0.7779,                0.96115,                 0.3508,                 1.2272,               0.003466,               0.003466,               0.003466
                    134,                 0.6838,                0.30428,                 1.0312,                0.96408,                0.96819,                0.97417,                0.77345,                0.96027,                0.34826,                 1.2319,              0.0034165,              0.0034165,              0.0034165
                    135,                0.68367,                0.30741,                  1.018,                0.96154,                0.96991,                0.97912,                0.78497,                0.95913,                0.35027,                 1.2157,               0.003367,               0.003367,               0.003367
                    136,                0.68062,                0.30008,                 1.0146,                0.95653,                0.96773,                0.98036,                0.78201,                0.96306,                 0.3526,                 1.2131,              0.0033175,              0.0033175,              0.0033175
